label_name,response
order_physical_card,You can order a physical card from the card management section in the app. The process is simple and typically takes just a few minutes to complete.
passcode_forgotten,"If you've forgotten your passcode, use the ‘Forgot passcode’ option on the login screen. Follow the instructions to reset it securely."
pending_card_payment,Pending card payments usually appear while the merchant is still processing the transaction. The final amount will be confirmed once the payment is completed or released.
pending_cash_withdrawal,"Pending cash withdrawals may take 1–2 business days to fully process. If the funds are not returned or settled after that, please contact support for further assistance."
pending_top_up,"If a top-up is showing as pending, it may still be processing through your payment provider or awaiting verification. Please check your funding method and ensure any required authentication has been completed. If it remains pending for too long, feel free to contact support for help."
pending_transfer,"Transfers can remain pending due to incorrect recipient details, network delays, or internal verification checks. If a transfer stays in pending status beyond the expected timeframe, please contact our support team so we can investigate and resolve the issue."
pin_blocked,"If your card PIN has been blocked after multiple incorrect attempts, you can reset it via the app if supported or at an ATM with PIN services. Once reset, your card will become usable again for transactions requiring PIN entry."
receiving_money,"You can receive money into your account via bank transfer using your provided account number and sort code (or IBAN and SWIFT, if international). Make sure to share these details securely, and the sender should follow their bank’s transfer process."
request_refund,"To request a refund, it's best to contact the merchant directly, as they are responsible for initiating the return of funds. If the merchant is unresponsive or the refund does not process correctly, our support team is available to assist with further investigation."
reverted_card_payment?,"A reverted card payment may appear on your statement as a refund, credit adjustment, or reversal depending on how the transaction was handled. These usually occur when a payment is cancelled, declined, or not fully processed by the merchant."
supported_cards_and_currencies,"We support most major debit and credit cards, including Visa and Mastercard. A wide range of global fiat currencies is also supported, which you can view in the app under the ‘Supported Currencies’ section."
terminate_account,"If you wish to close your account, you can do so through the ‘Settings’ or ‘Profile’ section in the app. Alternatively, you may contact our support team to assist you through the process securely."
top_up_by_bank_transfer_charge,"Bank transfer top-ups may incur a fee depending on your bank or region, especially with international or cross-border payments. You can review any applicable fees in the top-up section of the app before completing the transaction."
top_up_by_card_charge,"Card top-ups may include a small service fee, depending on your account type and the funding card used. Fee details will be shown clearly before you confirm the top-up in the app."
top_up_by_cash_or_cheque,"Cheque or cash top-ups must be completed at supported bank branches or partner locations, depending on your region. Please check the app or contact support to find the nearest eligible location and any identification required."
top_up_failed,"Top-up failures can occur due to card rejections, insufficient funds, incorrect payment details, or a block by your bank. We recommend verifying your payment method and trying again, or contacting your bank or support if the issue persists."
top_up_limits,"Your top-up limits depend on your account type and verification level. You can view your current limits in the app under ‘Account Settings’ > ‘Limits’, where daily, weekly, or monthly thresholds are clearly outlined."
top_up_reverted,"If a top-up is reverted, the funds are usually refunded to your original payment method within 3–5 business days, depending on your bank’s processing time. You’ll receive a notification once the refund has been issued."
topping_up_by_card,"You can top up your account using a debit or credit card through the ‘Add Money’ section in the app. The process is quick, secure, and supports most major card types."
transaction_charged_twice,"If you believe you were charged twice for the same transaction, please report it to us with a screenshot or a copy of the receipt. We'll review the details and, if confirmed, assist in processing a refund or dispute."
transfer_fee_charged,"A transfer fee may be applied for certain transactions, especially for international transfers or those exceeding specific limits. Fee details are shown in the app before confirming the transfer."
transfer_into_account,"To transfer funds into your account, use your account number and IFSC code for domestic transfers, or the SWIFT/BIC code for international transfers. These details can be found in the app under your account information."
transfer_not_received_by_recipient,"If a recipient hasn’t received the transfer, please ensure that their details were entered correctly. Some banks may also experience delays of up to a few business days depending on their processing times."
transfer_timing,"Most transfers are processed instantly, especially between accounts within the same network. However, some transfers—particularly those involving external or international banks—may take up to 2 business days to complete."
unable_to_verify_identity,"If your identity could not be verified, it may be due to missing or incorrect KYC (Know Your Customer) documentation. Please ensure all required information is submitted through the app to complete the verification process."
verify_my_identity,"To verify your identity, you’ll need to upload a valid government-issued ID and a selfie directly through the app. The process is secure, guided, and typically completed within a short time once documents are submitted."
verify_source_of_funds,"For regulatory compliance, we may need you to verify the source of funds used in your account. This could involve submitting supporting documents such as payslips, invoices, or bank statements to confirm the origin."
verify_top_up,"We may request verification for top-ups made from new or unfamiliar sources to ensure account security and comply with legal requirements. In such cases, you'll be guided through submitting any necessary documents directly in the app."
virtual_card_not_working,"If your virtual card isn’t working, please ensure it is active, not expired, and the payment details are entered correctly. You can review and manage the card directly in the app under the ‘Cards’ section."
visa_or_mastercard,"We issue either a Visa or Mastercard, depending on your location and card availability. The card type is confirmed during the order process and is supported globally for both online and in-store transactions."
why_verify_identity,"Verifying your identity helps protect your account from unauthorized access and ensures we comply with local financial regulations. It also enables access to key services like transfers, withdrawals, and increased limits."
wrong_amount_of_cash_received,"If you received less cash than expected from an ATM, please report it to our support team immediately. Provide the transaction details and receipt if available so we can assist in resolving the issue with the ATM provider."
wrong_exchange_rate_for_cash_withdrawal,"ATM exchange rates are set by the ATM provider and may differ from those displayed in the app. Since rates are dynamic, the final conversion rate may vary depending on the time and location of the withdrawal."
